oa_work_id,counts_by_year_json
https://openalex.org/W2123499997,"[{""year"": 2024, ""cited_by_count"": 2}, {""year"": 2023, ""cited_by_count"": 2}, {""year"": 2022, ""cited_by_count"": 2}, {""year"": 2021, ""cited_by_count"": 12}, {""year"": 2020, ""cited_by_count"": 7}, {""year"": 2019, ""cited_by_count"": 13}, {""year"": 2018, ""cited_by_count"": 6}, {""year"": 2017, ""cited_by_count"": 7}, {""year"": 2016, ""cited_by_count"": 4}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 4}, {""year"": 2013, ""cited_by_count"": 5}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2142091165,"[{""year"": 2019, ""cited_by_count"": 1}]"
https://openalex.org/W2140104767,"[{""year"": 2025, ""cited_by_count"": 3}, {""year"": 2024, ""cited_by_count"": 5}, {""year"": 2023, ""cited_by_count"": 4}, {""year"": 2022, ""cited_by_count"": 6}, {""year"": 2021, ""cited_by_count"": 6}, {""year"": 2020, ""cited_by_count"": 2}, {""year"": 2019, ""cited_by_count"": 1}, {""year"": 2018, ""cited_by_count"": 2}, {""year"": 2017, ""cited_by_count"": 3}, {""year"": 2016, ""cited_by_count"": 5}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 7}]"
https://openalex.org/W2115104712,"[{""year"": 2021, ""cited_by_count"": 2}, {""year"": 2018, ""cited_by_count"": 2}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 2}]"
https://openalex.org/W2153019422,"[{""year"": 2023, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 3}, {""year"": 2019, ""cited_by_count"": 2}, {""year"": 2018, ""cited_by_count"": 3}, {""year"": 2017, ""cited_by_count"": 4}, {""year"": 2016, ""cited_by_count"": 2}, {""year"": 2015, ""cited_by_count"": 4}, {""year"": 2014, ""cited_by_count"": 2}, {""year"": 2013, ""cited_by_count"": 2}]"
https://openalex.org/W2168326969,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2024, ""cited_by_count"": 1}, {""year"": 2023, ""cited_by_count"": 7}, {""year"": 2021, ""cited_by_count"": 4}, {""year"": 2020, ""cited_by_count"": 2}, {""year"": 2019, ""cited_by_count"": 2}, {""year"": 2018, ""cited_by_count"": 2}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 3}, {""year"": 2015, ""cited_by_count"": 2}, {""year"": 2013, ""cited_by_count"": 2}]"
https://openalex.org/W2161149069,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2024, ""cited_by_count"": 2}, {""year"": 2023, ""cited_by_count"": 3}, {""year"": 2022, ""cited_by_count"": 7}, {""year"": 2021, ""cited_by_count"": 13}, {""year"": 2020, ""cited_by_count"": 3}, {""year"": 2019, ""cited_by_count"": 8}, {""year"": 2018, ""cited_by_count"": 11}, {""year"": 2017, ""cited_by_count"": 8}, {""year"": 2016, ""cited_by_count"": 9}, {""year"": 2015, ""cited_by_count"": 2}, {""year"": 2014, ""cited_by_count"": 5}, {""year"": 2013, ""cited_by_count"": 4}, {""year"": 2012, ""cited_by_count"": 2}]"
https://openalex.org/W2571425027,"[{""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 4}, {""year"": 2020, ""cited_by_count"": 18}, {""year"": 2019, ""cited_by_count"": 19}, {""year"": 2018, ""cited_by_count"": 11}, {""year"": 2017, ""cited_by_count"": 4}, {""year"": 2016, ""cited_by_count"": 7}, {""year"": 2015, ""cited_by_count"": 4}, {""year"": 2014, ""cited_by_count"": 4}, {""year"": 2013, ""cited_by_count"": 3}]"
https://openalex.org/W2104402102,"[{""year"": 2021, ""cited_by_count"": 5}, {""year"": 2020, ""cited_by_count"": 2}, {""year"": 2019, ""cited_by_count"": 4}, {""year"": 2018, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 4}, {""year"": 2016, ""cited_by_count"": 4}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 2}]"
https://openalex.org/W2148985659,"[{""year"": 2025, ""cited_by_count"": 4}, {""year"": 2024, ""cited_by_count"": 6}, {""year"": 2023, ""cited_by_count"": 8}, {""year"": 2022, ""cited_by_count"": 9}, {""year"": 2021, ""cited_by_count"": 33}, {""year"": 2020, ""cited_by_count"": 21}, {""year"": 2019, ""cited_by_count"": 20}, {""year"": 2018, ""cited_by_count"": 30}, {""year"": 2017, ""cited_by_count"": 6}, {""year"": 2016, ""cited_by_count"": 6}, {""year"": 2015, ""cited_by_count"": 6}, {""year"": 2014, ""cited_by_count"": 6}, {""year"": 2013, ""cited_by_count"": 4}]"
https://openalex.org/W2145341417,"[{""year"": 2025, ""cited_by_count"": 2}, {""year"": 2024, ""cited_by_count"": 2}, {""year"": 2023, ""cited_by_count"": 6}, {""year"": 2022, ""cited_by_count"": 5}, {""year"": 2021, ""cited_by_count"": 7}, {""year"": 2020, ""cited_by_count"": 9}, {""year"": 2019, ""cited_by_count"": 6}, {""year"": 2018, ""cited_by_count"": 3}, {""year"": 2017, ""cited_by_count"": 2}, {""year"": 2016, ""cited_by_count"": 3}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 2}]"
https://openalex.org/W2147232944,"[{""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 2}]"
https://openalex.org/W2122372591,"[{""year"": 2023, ""cited_by_count"": 1}, {""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 1}, {""year"": 2018, ""cited_by_count"": 2}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 3}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 3}, {""year"": 2013, ""cited_by_count"": 4}]"
https://openalex.org/W2127612600,"[{""year"": 2018, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 16}, {""year"": 2016, ""cited_by_count"": 2}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 4}, {""year"": 2013, ""cited_by_count"": 6}]"
https://openalex.org/W2101836039,"[{""year"": 2020, ""cited_by_count"": 2}, {""year"": 2019, ""cited_by_count"": 1}, {""year"": 2018, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 2}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 2}, {""year"": 2013, ""cited_by_count"": 2}]"
https://openalex.org/W2114393161,"[{""year"": 2023, ""cited_by_count"": 9}, {""year"": 2022, ""cited_by_count"": 6}, {""year"": 2021, ""cited_by_count"": 26}, {""year"": 2020, ""cited_by_count"": 24}, {""year"": 2019, ""cited_by_count"": 31}, {""year"": 2018, ""cited_by_count"": 37}, {""year"": 2017, ""cited_by_count"": 30}, {""year"": 2016, ""cited_by_count"": 24}, {""year"": 2015, ""cited_by_count"": 15}, {""year"": 2014, ""cited_by_count"": 12}, {""year"": 2013, ""cited_by_count"": 6}]"
