topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share_t
3D Shape Modeling and Analysis,2021,23,117,29.0,135.0,0.0153683094859565,0.2074074074074074,4.414814814814815,0.935093013828206,1.0,-0.426688341189803,3.0,1.3862943611198906,0.3043478260869565,0.0099956540634506
3D Shape Modeling and Analysis,2022,28,142,23.0,117.0,0.0099956540634506,0.1623931623931624,4.52991452991453,0.9407760768956924,1.0,0.0068160557812309,1.5,0.9162907318741552,0.1071428571428571,0.0100647016534867
3D Shape Modeling and Analysis,2023,29,137,28.0,142.0,0.0100647016534867,0.2394366197183098,5.070422535211268,0.9385185185185184,1.0,-0.1898474429935444,1.0,0.6931471805599453,0.1724137931034483,0.0083070753365797
Advanced Bandit Algorithms Research,2014,28,63,27.0,66.0,0.0767045454545454,0.2121212121212121,2.393939393939394,0.8852309099222679,0.9597989949748744,-0.0963214388366022,2.0,1.0986122886681096,0.0,0.0696517412935323
Advanced Bandit Algorithms Research,2015,32,91,28.0,63.0,0.0696517412935323,0.238095238095238,2.095238095238096,0.8966262975778547,0.9680851063829786,0.1559665562122973,3.0,1.3862943611198906,0.0,0.0814249363867684
Advanced Bandit Algorithms Research,2016,43,119,32.0,91.0,0.0814249363867684,0.2197802197802197,2.6373626373626373,0.9216583566696264,0.9972527472527472,-0.058588852146491,2.0,1.0986122886681096,0.0,0.0767857142857142
Advanced Bandit Algorithms Research,2017,47,138,43.0,119.0,0.0767857142857142,0.1764705882352941,2.823529411764706,0.9426410035430433,1.0,-0.0857891115649001,2.0,1.0986122886681096,0.0,0.0704647676161919
Advanced Bandit Algorithms Research,2018,47,145,47.0,138.0,0.0704647676161919,0.2681159420289855,2.6956521739130435,0.9500293944738388,1.0,-0.4002584478577455,2.0,1.0986122886681096,0.0212765957446808,0.0471887550200803
Advanced Bandit Algorithms Research,2019,87,256,47.0,145.0,0.0471887550200803,0.2482758620689655,2.6620689655172414,0.9554618915944052,1.0,0.2627210388119665,3.0,1.3862943611198906,0.0229885057471264,0.0613973182780522
Advanced Bandit Algorithms Research,2020,109,327,87.0,256.0,0.0613973182780522,0.26953125,2.9375,0.9663869706195392,1.0,-0.060904256910311,2.0,1.0986122886681096,0.036697247706422,0.0577636459989401
Advanced Bandit Algorithms Research,2021,131,378,109.0,327.0,0.0577636459989401,0.3516819571865443,3.3211009174311927,0.9622441024093356,0.9658967707421612,-0.0144808518409464,0.0,0.0,0.0229007633587786,0.0569317687961755
Advanced Bandit Algorithms Research,2022,129,418,131.0,378.0,0.0569317687961755,0.3386243386243386,3.4074074074074074,0.9680650185779796,0.9772806575427442,-0.2048118819682778,0.0,0.0,0.0077519379844961,0.0463695183321351
Advanced Bandit Algorithms Research,2023,151,492,129.0,418.0,0.0463695183321351,0.3684210526315789,3.430622009569378,0.9760639687658634,0.9896582465022834,-0.0693957170617944,0.0,0.0,0.0066225165562913,0.0432540819249498
Advanced Memory and Neural Computing,2023,22,109,21.0,95.0,0.007548526240115,0.2,4.631578947368421,0.9045758928571428,0.9861431870669746,-0.1779151572588828,1.5,0.9162907318741552,0.1818181818181818,0.0063019192208536
Advanced Neural Network Applications,2016,29,101,24.0,75.0,0.0610687022900763,0.1333333333333333,2.6133333333333333,0.9054560599750104,0.0,-0.1645921605476772,5.0,1.791759469228055,0.2758620689655172,0.0517857142857142
Advanced Neural Network Applications,2017,43,158,29.0,101.0,0.0517857142857142,0.1881188118811881,3.128712871287129,0.9304598622015704,1.0,0.2186718120685888,9.0,2.302585092994046,0.1162790697674418,0.0644677661169415
Advanced Neural Network Applications,2018,83,330,43.0,158.0,0.0644677661169415,0.2151898734177215,4.316455696202532,0.8902055333264935,1.0,0.256332600029205,8.0,2.19722457733622,0.180722891566265,0.0833333333333333
