topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1_bin,cross_topic_rate_t1_bin,connectivity_t1_bin,modularity_t1_bin,topic_growth_bin,log1p_median_c2_bin,hit_rate_2yr_bin,topic_share_t_bin,bridge_concentration_t1_bin,year_bin
3D Shape Modeling and Analysis,2021,23,117,29.0,135.0,q1,q1,q3,q2,q1,q2,q3,q1,high,q2
3D Shape Modeling and Analysis,2022,28,142,23.0,117.0,q1,q1,q3,q2,q2,q2,q2,q1,high,q2
3D Shape Modeling and Analysis,2023,29,137,28.0,142.0,q1,q1,q3,q2,q1,q1,q3,q1,high,q3
Advanced Bandit Algorithms Research,2014,28,63,27.0,66.0,q3,q1,q1,q1,q2,q2,q1,q3,high,q1
Advanced Bandit Algorithms Research,2015,32,91,28.0,63.0,q3,q1,q1,q1,q3,q2,q1,q3,high,q1
Advanced Bandit Algorithms Research,2016,43,119,32.0,91.0,q3,q1,q1,q1,q2,q2,q1,q3,high,q1
Advanced Bandit Algorithms Research,2017,47,138,43.0,119.0,q3,q1,q1,q2,q2,q2,q1,q3,high,q1
Advanced Bandit Algorithms Research,2018,47,145,47.0,138.0,q3,q2,q1,q2,q1,q2,q1,q2,high,q1
Advanced Bandit Algorithms Research,2019,87,256,47.0,145.0,q2,q2,q1,q3,q3,q2,q1,q3,high,q1
Advanced Bandit Algorithms Research,2020,109,327,87.0,256.0,q3,q2,q1,q3,q2,q2,q1,q3,high,q2
Advanced Bandit Algorithms Research,2021,131,378,109.0,327.0,q3,q3,q2,q3,q2,q1,q1,q3,high,q2
Advanced Bandit Algorithms Research,2022,129,418,131.0,378.0,q2,q3,q2,q3,q1,q1,q1,q2,high,q2
Advanced Bandit Algorithms Research,2023,151,492,129.0,418.0,q2,q3,q2,q3,q2,q1,q1,q2,high,q3
Advanced Memory and Neural Computing,2023,22,109,21.0,95.0,q1,q1,q3,q1,q1,q2,q3,q1,high,q3
Advanced Neural Network Applications,2016,29,101,24.0,75.0,q3,q1,q1,q1,q1,q3,q3,q2,low_or_mid,q1
Advanced Neural Network Applications,2017,43,158,29.0,101.0,q2,q1,q1,q2,q3,q3,q2,q3,high,q1
Advanced Neural Network Applications,2018,83,330,43.0,158.0,q3,q1,q3,q1,q3,q3,q3,q3,high,q1
Advanced Neural Network Applications,2019,132,524,83.0,330.0,q3,q1,q2,q3,q3,q3,q3,q3,high,q1
Advanced Neural Network Applications,2020,202,816,132.0,524.0,q3,q2,q2,q3,q3,q3,q2,q3,high,q2
Advanced Neural Network Applications,2021,236,1041,202.0,816.0,q3,q1,q3,q3,q2,q1,q3,q3,high,q2
