topic,year,n_papers,n_authors,topic_share_t1_bin,cross_topic_rate_t1_bin,connectivity_t1_bin,modularity_t1_bin,topic_growth_bin,log1p_median_c2_bin,hit_rate_2yr_bin,bridge_concentration_t1_bin
3D Shape Modeling and Analysis,2020,29,135,q1,q1,q1,q1,q3,q3,q2,low_or_mid
3D Shape Modeling and Analysis,2021,23,117,q1,q1,q3,q2,q1,q2,q3,high
3D Shape Modeling and Analysis,2023,23,104,q1,q3,q3,q1,q2,q2,q2,high
Advanced Bandit Algorithms Research,2013,27,66,q2,q1,q1,q1,q3,q2,q1,high
Advanced Bandit Algorithms Research,2014,28,63,q3,q1,q1,q1,q2,q2,q1,high
Advanced Bandit Algorithms Research,2015,31,87,q3,q1,q1,q1,q2,q2,q1,high
Advanced Bandit Algorithms Research,2016,43,119,q3,q1,q1,q2,q2,q2,q1,high
Advanced Bandit Algorithms Research,2017,47,138,q3,q1,q1,q2,q2,q2,q1,high
Advanced Bandit Algorithms Research,2018,47,145,q3,q2,q1,q3,q1,q2,q1,high
Advanced Bandit Algorithms Research,2019,87,256,q2,q2,q1,q3,q3,q2,q1,high
Advanced Bandit Algorithms Research,2020,109,327,q3,q2,q1,q3,q2,q2,q2,high
Advanced Bandit Algorithms Research,2021,131,378,q3,q3,q2,q3,q2,q1,q1,high
Advanced Bandit Algorithms Research,2022,110,358,q3,q3,q2,q3,q1,q1,q1,high
Advanced Bandit Algorithms Research,2023,123,412,q2,q3,q2,q3,q2,q1,q1,high
Advanced Bandit Algorithms Research,2024,40,160,q2,q3,q2,q3,q1,q1,q1,high
Advanced Image and Video Retrieval Techniques,2021,26,116,q1,q3,q2,q1,q3,q1,q2,low_or_mid
Advanced Image and Video Retrieval Techniques,2024,43,265,q1,q1,q3,q1,q3,q1,q3,low_or_mid
Advanced Vision and Imaging,2021,25,104,q1,q3,q3,q1,q3,q2,q3,low_or_mid
Advanced Vision and Imaging,2022,34,173,q1,q1,q2,q2,q3,q3,q3,high
Advanced Vision and Imaging,2023,47,218,q1,q1,q3,q2,q2,q2,q2,high
Advanced Vision and Imaging,2024,21,126,q1,q2,q3,q3,q1,q1,q3,high
Adversarial Robustness in Machine Learning,2018,51,180,q2,q1,q2,q2,q3,q3,q3,low_or_mid
Adversarial Robustness in Machine Learning,2019,87,356,q3,q2,q1,q3,q3,q3,q3,high
Adversarial Robustness in Machine Learning,2020,109,419,q3,q2,q2,q3,q2,q3,q2,high
Adversarial Robustness in Machine Learning,2021,131,543,q3,q3,q3,q3,q2,q1,q2,high
Adversarial Robustness in Machine Learning,2022,133,576,q3,q3,q2,q3,q2,q2,q1,high
Adversarial Robustness in Machine Learning,2023,121,526,q3,q2,q3,q3,q1,q1,q2,high
