topic,year,n_papers,n_authors,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
3D Shape Modeling and Analysis,2020,29,135,0.011291460832745237,0.16363636363636364,2.981818181818182,0.8709101725163593,0.0,0.3059293567246115,4.0,1.6094379124341003,0.06896551724137931,0.015368309485956544,0.2074074074074074,4.4148148148148145,0.935093013828206,1.0,4.689655172413793,12.0,0.49733380732314253
3D Shape Modeling and Analysis,2021,23,117,0.015368309485956544,0.2074074074074074,4.4148148148148145,0.935093013828206,1.0,-0.42668834118980303,3.0,1.3862943611198906,0.30434782608695654,0.009995654063450673,0.1623931623931624,4.52991452991453,0.9407760768956924,1.0,5.173913043478261,8.0,0.5183946488294314
3D Shape Modeling and Analysis,2022,28,142,0.009995654063450673,0.1623931623931624,4.52991452991453,0.9407760768956924,1.0,0.006816055781230901,1.5,0.9162907318741551,0.10714285714285714,0.010064701653486701,0.23943661971830985,5.070422535211268,0.9385185185185185,1.0,5.214285714285714,5.5,0.7116204690831557
3D Shape Modeling and Analysis,2023,29,137,0.010064701653486701,0.23943661971830985,5.070422535211268,0.9385185185185185,1.0,-0.1898474429935444,1.0,0.6931471805599453,0.1724137931034483,0.008307075336579777,0.26277372262773724,5.124087591240876,0.923660310227521,1.0,4.9655172413793105,2.0,0.7855129039253957
Advanced Bandit Algorithms Research,2013,27,66,0.04155124653739612,0.15,2.05,0.8899464604402141,1.0,0.6119325269742415,3.0,1.3862943611198906,0.0,0.07670454545454546,0.21212121212121213,2.393939393939394,0.8852309099222679,0.9597989949748744,2.7777777777777777,7.0,0.4594168636721828
Advanced Bandit Algorithms Research,2014,28,63,0.07670454545454546,0.21212121212121213,2.393939393939394,0.8852309099222679,0.9597989949748744,-0.09632143883660227,2.0,1.0986122886681096,0.0,0.06965174129353234,0.23809523809523808,2.0952380952380953,0.8966262975778547,0.9680851063829786,2.607142857142857,4.0,0.5836236933797909
Advanced Bandit Algorithms Research,2015,32,91,0.06965174129353234,0.23809523809523808,2.0952380952380953,0.8966262975778547,0.9680851063829786,0.15596655621229738,3.0,1.3862943611198906,0.0,0.08142493638676845,0.21978021978021978,2.6373626373626373,0.9216583566696265,0.9972527472527473,3.09375,6.5,0.4661885245901639
Advanced Bandit Algorithms Research,2016,43,119,0.08142493638676845,0.21978021978021978,2.6373626373626373,0.9216583566696265,0.9972527472527473,-0.05858885214649101,2.0,1.0986122886681096,0.0,0.07678571428571429,0.17647058823529413,2.823529411764706,0.9426410035430431,1.0,3.13953488372093,4.0,0.5302325581395348
Advanced Bandit Algorithms Research,2017,47,138,0.07678571428571429,0.17647058823529413,2.823529411764706,0.9426410035430431,1.0,-0.0857891115649001,2.0,1.0986122886681096,0.0,0.0704647676161919,0.26811594202898553,2.6956521739130435,0.9500293944738388,1.0,3.127659574468085,5.0,0.6385396518375241
Advanced Bandit Algorithms Research,2018,47,145,0.0704647676161919,0.26811594202898553,2.6956521739130435,0.9500293944738388,1.0,-0.40025844785774556,2.0,1.0986122886681096,0.02127659574468085,0.04718875502008032,0.2482758620689655,2.6620689655172414,0.9554618915944052,1.0,3.148936170212766,6.0,0.58056354226567
Advanced Bandit Algorithms Research,2019,87,256,0.04718875502008032,0.2482758620689655,2.6620689655172414,0.9554618915944052,1.0,0.2627210388119665,3.0,1.3862943611198906,0.022988505747126436,0.061397318278052226,0.26953125,2.9375,0.9663869706195392,1.0,3.2298850574712645,7.0,0.5511409200262448
Advanced Bandit Algorithms Research,2020,109,327,0.061397318278052226,0.26953125,2.9375,0.9663869706195392,1.0,-0.060904256910311094,2.0,1.0986122886681096,0.03669724770642202,0.057763645998940114,0.3516819571865443,3.3211009174311927,0.9622441024093356,0.9658967707421611,3.458715596330275,4.0,0.5680241664801969
Advanced Bandit Algorithms Research,2021,131,378,0.057763645998940114,0.3516819571865443,3.3211009174311927,0.9622441024093356,0.9658967707421611,-0.014480851840946496,0.0,0.0,0.022900763358778626,0.05693176879617558,0.3386243386243386,3.4074074074074074,0.9680650185779797,0.9772806575427442,3.4732824427480917,1.0,0.6800572519083969
Advanced Bandit Algorithms Research,2022,129,418,0.05693176879617558,0.3386243386243386,3.4074074074074074,0.9680650185779797,0.9772806575427442,-0.20481188196827782,0.0,0.0,0.007751937984496124,0.04636951833213515,0.3684210526315789,3.430622009569378,0.9760639687658634,0.9896582465022834,3.604651162790698,1.0,0.7546464929485384
Advanced Bandit Algorithms Research,2023,151,492,0.04636951833213515,0.3684210526315789,3.430622009569378,0.9760639687658634,0.9896582465022834,-0.06939571706179448,0.0,0.0,0.006622516556291391,0.04325408192494987,0.2967479674796748,3.5447154471544717,0.9687458717514291,0.9984142192923698,3.6357615894039736,0.0,0.8839735099337749
Advanced Image and Video Retrieval Techniques,2021,27,119,0.007419183889772125,0.3157894736842105,3.6140350877192984,0.8681308323121878,0.0,0.4535215612696284,1.0,0.6931471805599453,0.07407407407407407,0.011734028683181226,0.25210084033613445,3.8823529411764706,0.9449223215456981,1.0,4.481481481481482,3.0,0.6760942760942761
Advanced Memory and Neural Computing,2022,21,95,0.006084311169056932,0.19117647058823528,5.5588235294117645,0.7973460989334005,0.0,0.212497352497663,2.0,1.0986122886681096,0.09523809523809523,0.007548526240115025,0.2,4.631578947368421,0.9045758928571429,0.9861431870669746,4.809523809523809,4.0,0.6666666666666666
Advanced Memory and Neural Computing,2023,22,109,0.007548526240115025,0.2,4.631578947368421,0.9045758928571429,0.9861431870669746,-0.17791515725888285,1.5,0.9162907318741551,0.18181818181818182,0.006301919220853624,0.1559633027522936,4.844036697247707,0.902978650137741,1.0,5.045454545454546,3.5,0.6573948439620081
