topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
3D Shape Modeling and Analysis,2020,29,135,16,55,0.011339475549255847,0.16363636363636364,2.981818181818182,0.8709101725163595,0.0,0.30753196965912544,4.0,1.6094379124341003,0.06896551724137931,0.015458422174840085,0.2074074074074074,4.4148148148148145,0.935093013828206,1.0,4.689655172413793,12.0,0.4940760389036251
3D Shape Modeling and Analysis,2021,23,117,29,135,0.015458422174840085,0.2074074074074074,4.4148148148148145,0.935093013828206,1.0,-0.42558816228665997,3.0,1.3862943611198906,0.30434782608695654,0.010065645514223195,0.1623931623931624,4.52991452991453,0.9407760768956924,1.0,5.173913043478261,8.0,0.5183946488294314
3D Shape Modeling and Analysis,2023,23,104,17,79,0.007602862254025045,0.3037974683544304,4.708860759493671,0.8891779396462018,1.0,0.08453263131660016,2.0,1.0986122886681096,0.08695652173913043,0.008282319049333813,0.2980769230769231,5.0576923076923075,0.8937448559670784,0.9726618705035971,4.826086956521739,3.0,0.7295597484276729
Advanced Bandit Algorithms Research,2013,27,66,15,40,0.04201680672268908,0.15,2.05,0.889946460440214,1.0,0.6036582066617608,3.0,1.3862943611198906,0.0,0.07692307692307693,0.21212121212121213,2.393939393939394,0.8852309099222679,0.9597989949748745,2.7777777777777777,7.0,0.4764132553606238
Advanced Bandit Algorithms Research,2014,28,63,27,66,0.07692307692307693,0.21212121212121213,2.393939393939394,0.8852309099222679,0.9597989949748745,-0.08917687408118669,2.0,1.0986122886681096,0.0,0.07035175879396985,0.23809523809523808,2.0952380952380953,0.8966262975778546,0.9680851063829787,2.607142857142857,4.0,0.5767857142857142
Advanced Bandit Algorithms Research,2015,31,87,28,63,0.07035175879396985,0.23809523809523808,2.0952380952380953,0.8966262975778546,0.9680851063829787,0.13481211092839107,3.0,1.3862943611198906,0.0,0.08051948051948052,0.22988505747126436,2.528735632183908,0.9345020696372046,0.9930555555555556,3.032258064516129,6.0,0.4533724340175953
Advanced Bandit Algorithms Research,2016,43,119,31,87,0.08051948051948052,0.22988505747126436,2.528735632183908,0.9345020696372046,0.9930555555555556,-0.0402610256531557,2.0,1.0986122886681096,0.0,0.07733812949640288,0.17647058823529413,2.823529411764706,0.9426410035430428,1.0,3.13953488372093,4.0,0.5302325581395348
Advanced Bandit Algorithms Research,2017,47,138,43,119,0.07733812949640288,0.17647058823529413,2.823529411764706,0.9426410035430428,1.0,-0.08694175365757939,2.0,1.0986122886681096,0.02127659574468085,0.07088989441930618,0.26811594202898553,2.6956521739130435,0.9500293944738387,1.0,3.127659574468085,5.0,0.6436781609195402
Advanced Bandit Algorithms Research,2018,47,145,47,138,0.07088989441930618,0.26811594202898553,2.6956521739130435,0.9500293944738387,1.0,-0.40325478093554734,2.0,1.0986122886681096,0.02127659574468085,0.0473313192346425,0.2482758620689655,2.6620689655172414,0.9554618915944049,1.0,3.148936170212766,6.0,0.582099907493062
Advanced Bandit Algorithms Research,2019,87,256,47,145,0.0473313192346425,0.2482758620689655,2.6620689655172414,0.9554618915944049,1.0,0.2639472172505033,3.0,1.3862943611198906,0.022988505747126436,0.06165839829907867,0.26953125,2.9375,0.9663869706195387,1.0,3.2298850574712645,7.0,0.5472541507024266
Advanced Bandit Algorithms Research,2020,109,327,87,256,0.06165839829907867,0.26953125,2.9375,0.9663869706195387,1.0,-0.05930431793806967,3.0,1.3862943611198906,0.03669724770642202,0.05810234541577825,0.3516819571865443,3.3211009174311927,0.9622441024093352,0.965896770742161,3.458715596330275,4.0,0.5630921943149346
Advanced Bandit Algorithms Research,2021,131,378,109,327,0.05810234541577825,0.3516819571865443,3.3211009174311927,0.9622441024093352,0.965896770742161,-0.013351598982065838,0.0,0.0,0.022900763358778626,0.05733041575492341,0.3386243386243386,3.4074074074074074,0.9680650185779799,0.9772806575427447,3.4732824427480917,1.0,0.6800572519083969
